batch,index,file,source_original_name,width,height,bytes,sha256,caption
Batch_01_Investor_Deck_V1,1,Reference/Visuals/Batch_01_Investor_Deck_V1/Batch_01_01.jpeg,426E125C-CF3D-463A-9D11-C7713122658E.jpeg,1491,1055,600116,363f9fefd26db8e78bbc888cacf45093b95137cd5d8103e9f59459b50e6b93ab,Cover / ARABIA STRIKE WORLD WAR hero key art and Jeddah command identity.
Batch_01_Investor_Deck_V1,2,Reference/Visuals/Batch_01_Investor_Deck_V1/Batch_01_02.jpeg,77BD52B7-6B6A-45D8-9E30-2E3A73BB0123.jpeg,1491,1055,534924,b461c132d1715d7f21a972aa204e9890e85df83a2f4faf0ee6f04bc27b517b42,"Executive overview: Saudi-born action franchise, premium identity, cinematic gameplay, scalable platform strategy."
Batch_01_Investor_Deck_V1,3,Reference/Visuals/Batch_01_Investor_Deck_V1/Batch_01_03.jpeg,5C57BD0F-E119-481B-B1A4-3A461F74E9BD.jpeg,1491,1055,547686,7c11ced0b4892df966b04880c02e49d24927ce362ea81123d66e90d4585343c7,"Gameplay loop: Brief → Deploy → Engage → Escalate → Extract; infantry, squad, vehicles, boss set pieces."
Batch_01_Investor_Deck_V1,4,Reference/Visuals/Batch_01_Investor_Deck_V1/Batch_01_04.jpeg,645DEAFE-EFEA-48D2-8957-D857BAB65E62.jpeg,1491,1055,537097,6ed9f1806901fe62f34dccab6572519ab9f0f564223e67883e299148051d1449,"World & story: near-future Saudi homefront conflict across city, coast and sky."
Batch_01_Investor_Deck_V1,5,Reference/Visuals/Batch_01_Investor_Deck_V1/Batch_01_05.jpeg,AEF7E243-23C6-475D-8550-B8CCBCE1C4FC.jpeg,1491,1055,689109,5f3e8d414eb333c4876ba4febdbd47a060451e08fef1335e096ee818dd86b36f,"Missions & theater: Corniche, downtown, old market, highway, final extraction."
Batch_01_Investor_Deck_V1,6,Reference/Visuals/Batch_01_Investor_Deck_V1/Batch_01_06.jpeg,0CC55932-21C9-409A-B7E3-990257A67140.jpeg,1491,1055,494160,82cdb5cb5c69eb3518267b1feff2ce80fb3fce6c9da676595a54d8ccd33ae83c,"Technology & platform: UE 5.8, Lumen, Nanite, Chaos, AI, native and connected delivery paths."
Batch_01_Investor_Deck_V1,7,Reference/Visuals/Batch_01_Investor_Deck_V1/Batch_01_07.jpeg,3EA6C7BF-98E1-4F05-AD38-624C22A4CC4B.jpeg,1491,1055,539670,0a269b0e360502cf0254de804024919f6213727e6188d610e45a7d98d5d1c34a,"Hero, squad and player psychology: hero identity, squad archetypes, mastery/responsibility/brotherhood/local pride/progression."
Batch_01_Investor_Deck_V1,8,Reference/Visuals/Batch_01_Investor_Deck_V1/Batch_01_08.jpeg,0A9896C0-31C1-4D1F-BDBA-D424FE36DD75.jpeg,1491,1055,474013,c6a8c78436f93201c825bc7e00031e283de16c92b9c0c215b7dae9aeaa1b5f82,"Market position and revenue model: premium action, Saudi-origin identity, global appeal."
Batch_01_Investor_Deck_V1,9,Reference/Visuals/Batch_01_Investor_Deck_V1/Batch_01_09.jpeg,20C60D95-5A43-4082-A0D8-F0FCFBF1937C.jpeg,1491,1055,463661,8e403bb944f40b43d06a30acfb74a199f693cfe4b8945f73d53532a8ee0bd137,"Roadmap and go-to-market: vertical slice, closed demo, wishlist, launch, live seasons."
Batch_01_Investor_Deck_V1,10,Reference/Visuals/Batch_01_Investor_Deck_V1/Batch_01_10.jpeg,F386202C-7DEA-4920-B019-81C65B6EFBE9.jpeg,1491,1055,576476,80c0e4746ea7d4e0bb2cd0a815cc89458f15c641df0e1dd6512f4dfc77e4fd33,Closing key art / partnership and investment ask.
