GROUP	PROJECT_PATH	SOURCE_PATH	PROJECT_SIZE	SOURCE_SIZE	SHA256_EQUAL
Mannequins	Content/Characters/Mannequins/Anims/Pistol/MF_Pistol_Idle_ADS.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Pistol\MF_Pistol_Idle_ADS.uasset	2068319	2068319	True
Mannequins	Content/Characters/Mannequins/Anims/Pistol/Aim/AO_Pistol.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Pistol\Aim\AO_Pistol.uasset	8824	8824	True
Mannequins	Content/Characters/Mannequins/Anims/Pistol/Aim/MF_Pistol_Idle_ADS_AO_CD.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Pistol\Aim\MF_Pistol_Idle_ADS_AO_CD.uasset	170203	170203	True
Mannequins	Content/Characters/Mannequins/Anims/Pistol/Aim/MF_Pistol_Idle_ADS_AO_CU.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Pistol\Aim\MF_Pistol_Idle_ADS_AO_CU.uasset	173260	173260	True
Mannequins	Content/Characters/Mannequins/Anims/Pistol/Aim/MF_Pistol_Idle_ADS1.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Pistol\Aim\MF_Pistol_Idle_ADS1.uasset	2056489	2056489	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/MF_Rifle_Idle_ADS.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\MF_Rifle_Idle_ADS.uasset	1700234	1700234	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/MM_Rifle_DryFire.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\MM_Rifle_DryFire.uasset	249623	249623	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/MM_Rifle_Equip.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\MM_Rifle_Equip.uasset	416648	416648	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/MM_Rifle_Fire.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\MM_Rifle_Fire.uasset	184600	184600	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/MM_Rifle_Reload.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\MM_Rifle_Reload.uasset	547351	547351	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/AIM/AO_Rifle.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\AIM\AO_Rifle.uasset	10402	10402	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/AIM/MM_Rifle_Idle_ADS_AO_CC.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\AIM\MM_Rifle_Idle_ADS_AO_CC.uasset	94995	94995	True
